Score,Url,Channel
0.7509,https://www.youtube.com/watch?v=TbOKPDqF4zI,Dreaming Spanish
0.7763,https://www.youtube.com/watch?v=8A0ddUk4Vrg,Dreaming Spanish
0.8358,https://www.youtube.com/watch?v=ev1vx1YUAyA,Dreaming Spanish
0.8381,https://www.youtube.com/watch?v=frXV5Z-rMZ8,Dreaming Spanish
0.8606,https://www.youtube.com/watch?v=yHCrQIsHeBo,Dreaming Spanish
0.8695,https://www.youtube.com/watch?v=7j693AMgFHM,Dreaming Spanish
0.8755,https://www.youtube.com/watch?v=eV6kl_NDcZo,Dreaming Spanish
0.8865,https://www.youtube.com/watch?v=uPtNakONP8Q,Dreaming Spanish
0.8882,https://www.youtube.com/watch?v=mL-Js7Qp93M,Dreaming Spanish
0.8919,https://www.youtube.com/watch?v=0rMUfn7BA8Y,Dreaming Spanish
0.9040,https://www.youtube.com/watch?v=iJeXQJLexSM,Dreaming Spanish
0.9123,https://www.youtube.com/watch?v=P5mFVa9TvcU,Dreaming Spanish
0.9149,https://www.youtube.com/watch?v=pX8szhJJIEc,Dreaming Spanish
0.9252,https://www.youtube.com/watch?v=My1BrIKUtJE,Dreaming Spanish
0.9380,https://www.youtube.com/watch?v=y7qEOhbixpQ,Dreaming Spanish
0.9389,https://www.youtube.com/watch?v=AdWG63kHRgc,Dreaming Spanish
0.9412,https://www.youtube.com/watch?v=ctlvuCr7Oa8,Dreaming Spanish
0.9460,https://www.youtube.com/watch?v=1U-Hy0Bf_Ro,Dreaming Spanish
0.9465,https://www.youtube.com/watch?v=A5tdbPq7s5Q,Dreaming Spanish
0.9488,https://www.youtube.com/watch?v=qilkDC2kVAI,Dreaming Spanish
0.9530,https://www.youtube.com/watch?v=4u0unIF5Z1Q,Dreaming Spanish
0.9571,https://www.youtube.com/watch?v=9CbO6itOMZE,Dreaming Spanish
0.9606,https://www.youtube.com/watch?v=IJo4SJhn08w,Dreaming Spanish
